Team,First ODI,Matches,Won,Lost,Tied,No result,%Win*
Afghanistan,19-Apr-09,157,75,77,1,4,49.34
Africa XI,17-Aug-05,6,1,4,0,1,20
Asia XI,10-Jan-05,7,4,2,0,1,63.18
Australia,05-Jan-71,992,601,348,9,34,63.2
Bangladesh,31-Mar-86,429,155,264,0,10,36.99
Bermuda,17-May-06,35,7,28,0,0,20
Canada,09-Jun-79,82,20,60,0,2,25
East Africa,07-Jun-75,3,0,3,0,0,0
England,05-Jan-71,790,397,353,9,31,52.89
Hong Kong,16-Jul-04,26,9,16,0,1,36
ICC World XI,10-Jan-05,4,1,3,0,0,25
India,13-Jul-74,"1,046",552,441,9,44,55.53
Ireland,13-Jun-06,196,78,101,3,14,43.68
Jersey,27-Mar-23,5,1,4,0,0,20
Kenya,18-Feb-96,154,42,107,0,5,28.18
Namibia,10-Feb-03,48,23,24,0,1,48.93
Nepal,01-Aug-18,59,30,27,1,1,52.58
Netherlands,17-Feb-96,120,41,73,2,4,36.2
New Zealand,11-Feb-73,817,376,391,7,43,49.03
Oman,27-Apr-19,46,23,24,1,1,52.22
Pakistan,11-Feb-73,967,510,427,9,21,54.38
Papua New Guinea,08-Nov-14,66,14,51,1,0,21.96
Scotland,16-May-99,153,68,77,1,7,46.91
South Africa,10-Nov-91,665,407,231,6,21,63.66
Sri Lanka,07-Jun-75,905,415,446,5,39,48.21
United Arab Emirates,13-Apr-94,108,37,70,1,0,34.72
United States,10-Sep-04,51,22,27,2,0,45.09
West Indies,05-Sep-73,867,418,408,11,30,50.59
Zimbabwe,09-Jun-83,566,151,394,8,13,28.02
Afghanistan,19-Apr-09,157,75,77,1,4,49.34
Africa XI,17-Aug-05,6,1,4,0,1,20
Asia XI,10-Jan-05,7,4,2,0,1,63.18
Australia,05-Jan-71,992,601,348,9,34,63.2
Bangladesh,31-Mar-86,429,155,264,0,10,36.99
Bermuda,17-May-06,35,7,28,0,0,20
Canada,09-Jun-79,82,20,60,0,2,25
East Africa,07-Jun-75,3,0,3,0,0,0
England,05-Jan-71,790,397,353,9,31,52.89
Hong Kong,16-Jul-04,26,9,16,0,1,36
ICC World XI,10-Jan-05,4,1,3,0,0,25
India,13-Jul-74,"1,046",552,441,9,44,55.53
Ireland,13-Jun-06,196,78,101,3,14,43.68
Jersey,27-Mar-23,5,1,4,0,0,20
Kenya,18-Feb-96,154,42,107,0,5,28.18
Namibia,10-Feb-03,48,23,24,0,1,48.93
Nepal,01-Aug-18,59,30,27,1,1,52.58
Netherlands,17-Feb-96,120,41,73,2,4,36.2
New Zealand,11-Feb-73,817,376,391,7,43,49.03
Oman,27-Apr-19,46,23,24,1,1,52.22
Pakistan,11-Feb-73,967,510,427,9,21,54.38
Papua New Guinea,08-Nov-14,66,14,51,1,0,21.96
Scotland,16-May-99,153,68,77,1,7,46.91
South Africa,10-Nov-91,665,407,231,6,21,63.66
Sri Lanka,07-Jun-75,905,415,446,5,39,48.21
United Arab Emirates,13-Apr-94,108,37,70,1,0,34.72
United States,10-Sep-04,51,22,27,2,0,45.09
West Indies,05-Sep-73,867,418,408,11,30,50.59
Zimbabwe,09-Jun-83,566,151,394,8,13,28.02
